exercise_id,exercise_name,target_joint,side,rom_min_deg,rom_max_deg,target_reps
ELBOW_FLEX_01,Elbow Flexion,elbow,left,0,180,10
ELBOW_FLEX_02,Elbow Flexion,elbow,left,10,180,10
ELBOW_FLEX_03,Elbow Flexion,elbow,left,15,180,10
ELBOW_FLEX_04,Elbow Flexion,elbow,left,20,180,10
ELBOW_FLEX_05,Elbow Flexion,elbow,left,25,180,10
ELBOW_FLEX_06,Elbow Flexion,elbow,left,30,180,10
ELBOW_FLEX_07,Elbow Flexion,elbow,left,0,175,8
ELBOW_FLEX_08,Elbow Flexion,elbow,left,5,175,8
ELBOW_FLEX_09,Elbow Flexion,elbow,left,10,175,8
ELBOW_FLEX_10,Elbow Flexion,elbow,left,15,175,8
ELBOW_FLEX_11,Elbow Flexion,elbow,left,20,175,8
ELBOW_FLEX_12,Elbow Flexion,elbow,left,25,175,8
ELBOW_FLEX_13,Elbow Flexion,elbow,left,30,175,8
ELBOW_FLEX_14,Elbow Flexion,elbow,left,40,175,10
ELBOW_FLEX_15,Elbow Flexion,elbow,right,50,175,10
ELBOW_FLEX_16,Elbow Flexion,elbow,right,60,175,10
ELBOW_FLEX_17,Elbow Flexion,elbow,right,70,175,10
ELBOW_FLEX_18,Elbow Flexion,elbow,right,80,175,10
ELBOW_FLEX_19,Elbow Flexion,elbow,right,90,175,10
ELBOW_FLEX_20,Elbow Flexion,elbow,right,100,175,10
ELBOW_FLEX_21,Elbow Flexion,elbow,right,110,175,10
ELBOW_FLEX_22,Elbow Flexion,elbow,right,120,175,10
ELBOW_FLEX_23,Elbow Flexion,elbow,right,130,175,10
ELBOW_FLEX_24,Elbow Flexion,elbow,right,140,175,10
ELBOW_FLEX_25,Elbow Flexion,elbow,right,150,175,10
ELBOW_FLEX_26,Elbow Flexion,elbow,right,160,175,10
ELBOW_FLEX_27,Elbow Flexion,elbow,right,0,170,5
ELBOW_FLEX_28,Elbow Flexion,elbow,both,10,170,5
ELBOW_FLEX_29,Elbow Flexion,elbow,both,20,170,5
ELBOW_FLEX_30,Elbow Flexion,elbow,both,30,170,5
ELBOW_FLEX_31,Elbow Flexion,elbow,both,40,170,5
ELBOW_FLEX_32,Elbow Flexion,elbow,both,50,170,5
ELBOW_FLEX_33,Elbow Flexion,elbow,both,60,170,5
ELBOW_FLEX_34,Elbow Flexion,elbow,both,70,170,5
ELBOW_FLEX_35,Elbow Flexion,elbow,both,80,170,5
ELBOW_FLEX_36,Elbow Flexion,elbow,both,90,170,5
ELBOW_FLEX_37,Elbow Flexion,elbow,both,100,170,5
ELBOW_FLEX_38,Elbow Flexion,elbow,both,110,170,5
ELBOW_FLEX_39,Elbow Flexion,elbow,both,120,170,5
ELBOW_FLEX_40,Elbow Flexion,elbow,both,130,170,5
