exercise,min_angle,max_angle,rom,average_angle,angle_variability,repetitions,label
elbow_flexion,30,170,140,100,10,10,GOOD
elbow_flexion,35,165,130,105,12,9,GOOD
elbow_flexion,40,168,128,102,11,10,GOOD
elbow_flexion,45,160,115,108,15,9,GOOD
elbow_flexion,55,150,95,110,22,7,MODERATE
elbow_flexion,60,145,85,115,25,6,MODERATE
elbow_flexion,65,140,75,118,28,6,MODERATE
elbow_flexion,70,135,65,120,30,5,MODERATE
elbow_flexion,85,130,45,110,35,4,POOR
elbow_flexion,90,125,35,115,40,3,POOR
elbow_flexion,95,120,25,120,45,2,POOR
elbow_flexion,100,115,15,108,50,2,POOR
shoulder_flexion,20,175,155,105,10,10,GOOD
shoulder_flexion,25,170,145,108,12,9,GOOD
shoulder_flexion,30,165,135,110,14,9,GOOD
shoulder_flexion,45,155,110,112,20,8,MODERATE
shoulder_flexion,50,150,100,115,24,7,MODERATE
shoulder_flexion,60,145,85,120,28,6,MODERATE
shoulder_flexion,80,130,50,115,35,4,POOR
shoulder_flexion,90,120,30,120,42,3,POOR
shoulder_abduction,20,175,155,105,10,10,GOOD
shoulder_abduction,25,170,145,108,12,9,GOOD
shoulder_abduction,35,165,130,110,15,9,GOOD
shoulder_abduction,50,150,100,115,22,7,MODERATE
shoulder_abduction,60,145,85,118,26,6,MODERATE
shoulder_abduction,70,135,65,120,30,5,MODERATE
shoulder_abduction,85,125,40,110,38,4,POOR
shoulder_abduction,95,115,20,115,45,3,POOR
knee_flexion,30,170,140,100,10,10,GOOD
knee_flexion,35,165,130,105,12,9,GOOD
knee_flexion,40,160,120,108,14,9,GOOD
knee_flexion,55,150,95,110,22,7,MODERATE
knee_flexion,65,140,75,115,27,6,MODERATE
knee_flexion,70,135,65,118,30,5,MODERATE
knee_flexion,85,125,40,110,38,4,POOR
knee_flexion,95,115,20,115,45,3,POOR
